Channel,Logo (optional URL),VTVgo,MyTV,TV360,FPT Play,VTVprime,SCTV Online,HTVm,K+,ClipTV,VieON,Msky,VTVcab,SCTV,K+ (DTH),VTC Digital (DTH),AVG (DTH),AVG (DTT),Notes (optional)
VTV1,https://upload.wikimedia.org/wikipedia/commons/6/66/VTV1_logo_2013_final.svg,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
VTV2,https://upload.wikimedia.org/wikipedia/commons/d/d5/VTV2_logo_2013_final.svg,yes,yes,yes,yes,yes,yes,,yes,yes,yes,,yes,yes,yes,,,,
VTV3,https://upload.wikimedia.org/wikipedia/commons/4/48/VTV3_logo_2013_final.svg,yes,yes,yes,yes,yes,yes,,yes,yes,yes,,yes,yes,yes,,,,
VTV4,https://upload.wikimedia.org/wikipedia/commons/6/68/VTV4_logo_2013_final.svg,yes,yes,yes,yes,yes,yes,,yes,yes,yes,,yes,yes,yes,,,,
Vietnam Today,https://cdn.save.moe/b/fGMeQQ.webp?dl=1,yes,,yes,yes,yes,yes,,yes,yes,yes,,yes,yes,yes,,,,
VTV5,https://upload.wikimedia.org/wikipedia/commons/9/98/VTV5_logo_2013_final.svg,yes,yes,yes,yes,yes,yes,,yes,yes,yes,,yes,yes,yes,,,,
VTV5 Tây Nam Bộ,https://upload.wikimedia.org/wikipedia/commons/d/df/Vtv5tnb_logo.svg,yes,yes,yes,yes,yes,yes,,yes,yes,yes,,yes,yes,yes,,,,
VTV5 Tây Nguyên,https://upload.wikimedia.org/wikipedia/commons/2/29/Vtv5taynguyen_logo.svg,yes,yes,yes,yes,yes,yes,,yes,yes,yes,,yes,yes,yes,,,,
VTV Cần Thơ,https://upload.wikimedia.org/wikipedia/commons/d/dc/Logo_%C4%91%C3%A0i_VTV_C%E1%BA%A7n_Th%C6%A1.svg,yes,yes,yes,yes,yes,yes,,yes,yes,yes,,yes,yes,yes,,,,
VTV7,https://upload.wikimedia.org/wikipedia/commons/c/c4/VTV7_logo_2016_final.svg,yes,yes,yes,yes,yes,yes,,yes,yes,yes,,yes,yes,yes,,,,
