id,name,logo,url
hls-redbull,Red Bull TV,https://i.postimg.cc/j2ZcgH4Q/redbull.png,https://dms.redbull.tv/v3/linear-borb/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjYXRlZ29yeSI6InBlcnNvbmFsX2NvbXB1dGVyIiwiY291bnRyeV9jb2RlIjoidXMiLCJleHBpcmVzIjoiMjAxNy0wOS0xNlQxNzo0NjowMy45NjM0NjI4NDJaIiwib3NfZmFtaWx5IjoiaHR0cCIsInJlbW90ZV9pcCI6IjEwLjE1Ny4xMTIuMTQ4IiwidWEiOiJNb3ppbGxhLzUuMCAoTWFjaW50b3NoOyBJbnRlbCBNYWMgT1MgWCAxMF8xMl81KSBBcHBsZVdlYktpdC82MDMuMi40IChLSFRNTCwgbGlrZSBHZWNrbykgVmVyc2lvbi8xMC4xLjEgU2FmYXJpLzYwMy4yLjQiLCJ1aWQiOiJkOGZiZWYzMC0yZDhhLTQwYTUtOGNjNy0wNzgxNGJhMTliNzMifQ.Q_38FNpW3so5yrA5FQt9qBuix3dTulKpb6uQ0dRjrtY/playlist.m3u8
yt-tomorrowland,Tomorrowland One World Radio,https://i.postimg.cc/cHCPdzgv/owr.png,https://www.youtube.com/embed/WpaGUf21KRo?&autoplay=1
yt-phineas-ferb-s1,Phineas And Ferb S1,https://upload.wikimedia.org/wikipedia/en/6/6e/Phineas_and_Ferb_logo.svg,https://www.youtube.com/embed/_HviSyC7zSU?&autoplay=1
hls-lovenature,Love Nature 4K,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/canada/love-nature-white-ca.png,https://pb-ehs1glsha1juy.akamaized.net/Love_Nature_4K.m3u8
yt-tom-and-jerry,Tom and Jerry: Golden Era,https://beam-images.warnermediacdn.com/BEAM_LWM_DELIVERABLES/a500fccc-7dbe-45fb-91d4-023deb64bbc0/2a8a16b70341edef639588982379c0c251c6f961.jpg?host=wbd-images.prod-vod.h264.io&partner=beamcom&w=300&w=300,https://www.youtube.com/embed/400k2SKoeh4?&autoplay=1
hls-test,Test Stream HLS,,https://demo.unified-streaming.com/k8s/features/stable/video/tears-of-steel/tears-of-steel.ism/.m3u8
vtv1hd,VTV1,https://vtvgo-assets.vtvdigital.vn/assets/images/v2/logo/VTV1_150x902_1675159127.webp,https://live.fptplay53.net/live/media/vtv1/live247-hls-avc/vtv1-avc1_5600000=10000-mp4a_131600=20000.m3u8
vtv5hd,VTV5,https://vtvgo-assets.vtvdigital.vn/assets/images/v2/logo/VTV5_150x901_1675158859.webp,https://live.fptplay53.net/live/media/vtv5/live247-hls-avc/vtv5-avc1_5600000=10000-mp4a_131600=20000.m3u8
vietnamtoday,Vietnam Today,https://vtvgo-assets.vtvdigital.vn/assets/images/v2/channel/20250906/2025090623/vvcemcZDle-VIETNAMTODAY-KENHVTVgo-150x90copy.webp,https://live.fptplay53.net/fnxhd1/vntoday_vhls.smil/chunklist_b5000000.m3u8
antvhd,ANTV,https://upload.wikimedia.org/wikipedia/commons/a/a8/Logoantv.png,https://live.fptplay53.net/fnxhd2/anninhtv_vhls.smil/chunklist_b5000000.m3u8
qpvnhd,QPVN,https://upload.wikimedia.org/wikipedia/vi/5/5d/QPVN.png,https://live.fptplay53.net/fnxhd2/quocphongvnhd_vhls.smil/chunklist_b5000000.m3u8
france24eng,France 24 English,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/international/france-24-english-int.png,https://dash3.antik.sk/live/test_france24_eng/playlist.m3u8
nhkworld,NHK World - Japan,https://raw.githubusercontent.com/tv-logo/tv-logos/refs/heads/main/countries/international/nhk-world-japan-int.png,https://media-osa.hls.nhkworld.jp/hls/w/live/master.m3u8
cna,CNA,https://upload.wikimedia.org/wikipedia/commons/8/83/CNA_new_logo.svg,https://streams.comclark.com/pknsd/channel_news_asia/playlist.m3u8
mtvbiggestpop,MTV Biggest Pop,,https://jmp2.uk/plu-6047fbdbbb776a0007e7f2ff.m3u8
